<<<<<<< HEAD
Francisco	Santana	2235645	0	0	0	
Jose	Hernandez	65987	0	0	0	
Petronilo	Ernandes	23423423	67897654	Administrator	Administrator	
Francisco	Albarado	asdasd	0	Administrator	Administrator	
Pablo	Marmol	321654	0	Paralegal	Active	
Petronilo	Ernandes	23423423	0	Customer	Customer	
=======
Francisco	Santana	2235645	
Pablo	Marmol	30563265	
Maria	Bermota	12313	
Jose	Hernandez	65987	
Otro	cont	3464	
Petronilo	Ernandes	23423423	
Francisco	Albarado	asdasd	
asd	asd	asd	
Armando	Hernandez	3265487	
pable	asldk	2093482	
Henesto	Colmenarez	32465797	
asd	asd	asd	
asd	asd	asd	
>>>>>>> 33be9adfa745eb3ee5dc1c99cf4289de42ca6550
